,round,accuracy,alpha,repetition,alpha_norm
30,30,0.4866,10,9,1.0
31,31,0.4888,10,9,1.0
32,32,0.4828,10,9,1.0
33,33,0.4825,10,9,1.0
34,34,0.4828,10,9,1.0
35,35,0.4813,10,9,1.0
36,36,0.4802,10,9,1.0
37,37,0.4792,10,9,1.0
38,38,0.4813,10,9,1.0
39,39,0.4772,10,9,1.0
40,40,0.4772,10,9,1.0
0,0,0.0432,1,9,0.0
1,1,0.1862,1,9,0.0
2,2,0.3102,1,9,0.0
3,3,0.3841,1,9,0.0
4,4,0.4176,1,9,0.0
5,5,0.4515,1,9,0.0
6,6,0.4704,1,9,0.0
7,7,0.4816,1,9,0.0
8,8,0.481,1,9,0.0
9,9,0.4919,1,9,0.0
10,10,0.4977,1,9,0.0
11,11,0.4995,1,9,0.0
12,12,0.5036,1,9,0.0
13,13,0.4993,1,9,0.0
14,14,0.5037,1,9,0.0
15,15,0.5011,1,9,0.0
16,16,0.5003,1,9,0.0
17,17,0.5006,1,9,0.0
18,18,0.4955,1,9,0.0
19,19,0.497,1,9,0.0
20,20,0.4876,1,9,0.0
21,21,0.4859,1,9,0.0
22,22,0.4818,1,9,0.0
23,23,0.4805,1,9,0.0
24,24,0.4773,1,9,0.0
25,25,0.4761,1,9,0.0
26,26,0.4785,1,9,0.0
27,27,0.477,1,9,0.0
28,28,0.4766,1,9,0.0
29,29,0.4755,1,9,0.0
30,30,0.4719,1,9,0.0
31,31,0.47,1,9,0.0
32,32,0.4713,1,9,0.0
33,33,0.4665,1,9,0.0
34,34,0.4646,1,9,0.0
35,35,0.467,1,9,0.0
36,36,0.4608,1,9,0.0
37,37,0.4632,1,9,0.0
38,38,0.4656,1,9,0.0
39,39,0.4637,1,9,0.0
40,40,0.4592,1,9,0.0
0,0,0.0481,1,7,0.0
1,1,0.1522,1,7,0.0
2,2,0.3077,1,7,0.0
3,3,0.3823,1,7,0.0
4,4,0.4226,1,7,0.0
5,5,0.4389,1,7,0.0
6,6,0.4596,1,7,0.0
7,7,0.4791,1,7,0.0
8,8,0.4867,1,7,0.0
9,9,0.4954,1,7,0.0
10,10,0.4936,1,7,0.0
11,11,0.4999,1,7,0.0
12,12,0.5048,1,7,0.0
13,13,0.5001,1,7,0.0
14,14,0.4991,1,7,0.0
15,15,0.5042,1,7,0.0
16,16,0.499,1,7,0.0
17,17,0.4931,1,7,0.0
18,18,0.4923,1,7,0.0
19,19,0.4962,1,7,0.0
20,20,0.4952,1,7,0.0
21,21,0.4921,1,7,0.0
22,22,0.4868,1,7,0.0
23,23,0.4904,1,7,0.0
24,24,0.4817,1,7,0.0
25,25,0.4835,1,7,0.0
26,26,0.4817,1,7,0.0
27,27,0.478,1,7,0.0
28,28,0.4736,1,7,0.0
29,29,0.4737,1,7,0.0
30,30,0.4781,1,7,0.0
31,31,0.4754,1,7,0.0
32,32,0.4743,1,7,0.0
33,33,0.4768,1,7,0.0
34,34,0.4687,1,7,0.0
35,35,0.4651,1,7,0.0
36,36,0.4674,1,7,0.0
37,37,0.4666,1,7,0.0
38,38,0.4664,1,7,0.0
39,39,0.4701,1,7,0.0
40,40,0.4631,1,7,0.0
0,0,0.0535,1,2,0.0
1,1,0.1514,1,2,0.0
2,2,0.301,1,2,0.0
3,3,0.3873,1,2,0.0
4,4,0.4204,1,2,0.0
5,5,0.457,1,2,0.0
6,6,0.4623,1,2,0.0
7,7,0.4737,1,2,0.0
8,8,0.4802,1,2,0.0
9,9,0.4933,1,2,0.0
10,10,0.494,1,2,0.0
11,11,0.4973,1,2,0.0
12,12,0.499,1,2,0.0
13,13,0.4991,1,2,0.0
14,14,0.506,1,2,0.0
15,15,0.5,1,2,0.0
16,16,0.4971,1,2,0.0
17,17,0.4945,1,2,0.0
18,18,0.4951,1,2,0.0
19,19,0.4899,1,2,0.0
20,20,0.4905,1,2,0.0
21,21,0.4903,1,2,0.0
22,22,0.488,1,2,0.0
23,23,0.4867,1,2,0.0
24,24,0.4852,1,2,0.0
25,25,0.4859,1,2,0.0
26,26,0.4802,1,2,0.0
27,27,0.4783,1,2,0.0
28,28,0.4749,1,2,0.0
29,29,0.48,1,2,0.0
30,30,0.4787,1,2,0.0
